answer,query,source
" That would concern me, Ruth. It would concern me. But at the same time it can be solved to a large extant with jobs. You know, if we can rebuild those communities and create incentives for companies to move in and create jobs. Jobs are so important. There are no jobs. There are none. You go to those communities and you can’t – there is nothing there. There is no incentive for people. It is a very sad situation. And what makes it even sadder is that we are spending so much money in other countries and our own country has vast pockets of poverty and a lot of this is caused by the fact that there are no jobs. So we can create jobs in places like Baltimore and Detroit. You know, Detroit made a move, but I don’t know but it just seems to be fizzling. I don’t know what is going on. I watched Detroit four, five years ago and it looked like they were really putting a full-court press on and it doesn’t seem to be, from what I’ve been told, friends of mine that are very much involved in that whole process that it doesn’t seem to be, doesn’t seem to be something that is being pursued like it should be pursued. But if we can create jobs, it will solve so many problems."," But Mr. Trump, if I could just follow up on Fred’s question. I think that what he was trying to get at was the anger in the African American community that held some of the riots and disturbances this summer about disparate treatment and about … clearly you say you’ve read where there is disparate treatment. But it is pretty undeniable that there is disproportionate incarceration of African Americans vs. whites. What would you – is that something that concerns you?",editorial
" I think what’s different is we have a very divided country. And whether we like it or not, it’s divided as bad as I’ve ever seen it. I‘ve been, you know, I’ve been doing things for a long time. I see it all the time. I mean I see it so often. I see it when we go out and we have 21,000 people in Phoenix, Arizona, the other day, the division – not so much Phoenix, because that was actually very smooth, there wasn’t even a minor, they did block a road, but after that, that was Sheriff Joe Arpaio, when the road was unblocked everyone left and it was fine. But in Tucson, you can see the division. You can see the division. There’s a racial division that’s incredible actually in the country. I think it’s as bad, I mean you have to say it’s as bad or almost as bad as it’s ever been. And there’s a lack of spirit. And one thing I thought that would happen, and it hasn’t happened, unfortunately, I thought that President Obama would be a great cheerleader for the country. And it just hasn’t happened. I mean we can say it has. But it hasn’t happened. When you look at the Ferguson problems and the Baltimore problems and the Detroit problems. And you know there’s a lack of spirit. I actually think I’d be a great cheerleader – beyond other things, the other things that I’d do – I actually think I’d be a great cheerleader for the country. Because a lot of people feel it’s a hopeless situation. A lot of people in the inner cities they feel that way. And you have to start by giving them hope and giving them spirit and that has not taken place. Just has not taken place."," Can I follow up on that? I mean, to take the case of Baltimore, I mean one of the things that’s so remarkable about Baltimore and Detroit is that both of these cities, like many others have been – it’s not as if no one has ever said before we should have economic zones, it’s not as if no one has ever said before we need incentives and taxes etc., etc. And Baltimore received a lot of federal aid over the years. So I guess the question, then, is what’s different specifically about your approach to these issues from what’s been tried in the past, because a lot of effort has been put in just the direction you just described.",editorial
" I might not have to, based on Gawker. Right?"," Mr. Trump, you’ve mentioned many times during the campaign, in fact including this morning, instances you feel where the press has been biased or unfair or outright false in their reporting, and you’ve mentioned that you want to “open up” the libel laws. You’ve said that several times.",editorial
" Okay, look, I’ve had stories written about me – by your newspaper and by others – that are so false, that are written with such hatred – I’m not a bad person. I’m just doing my thing – I’m, you know, running, I want to do something that’s good. It’s not an easy thing to do. I had a nice life until I did this, you know. This is a very difficult thing to do. In fact I’ve always heard that if you’re a very successful person you can’t run for office. And I can understand that. You’ll do a hundred deals, and you’ll do one bad one or two bad ones — that’s all they read about are the bad ones. They don’t read about the one hundred and fifty great ones that you had. And even some of the ones they write that are good, they make them sound bad. You know, so I’ve always heard that. I’ve heard that if you’re successful – very successful – you just can’t run for—", My question is not so much why you feel they should be open but how. What presidential powers and executive actions would you take to open up the libel laws?,editorial
" What I would do, what I would do is I’d – well right now the libel laws, I mean I must tell you that the Hulk Hogan thing was a tremendous shock to me because – not only the amount and the fact that he had the victory — because for the most part I think libel laws almost don’t exist in this country, you know, based on, based on everything I’ve seen and watched and everything else, and I just think that if a paper writes something wrong — media, when I say paper I’m talking about media. I think that they can do a retraction if they’re wrong. They should at least try to get it right. And if they don’t do a retraction, they should, they should you know have a form of a trial. I don’t want to impede free press, by the way. The last thing I would want to do is that. But I mean I can only speak for – I probably get more – do I, I mean, you would know, do I get more publicity than any human being on the earth? Okay?", But how would you fix that? You’ve said that you would open up the libel laws.,editorial
" No, I would just say this. All I want is fairness. So unfair. I have stories and you have no recourse, you have no recourse whatsoever because the laws are really impotent."," Would you expand, for example, prior restraints against publications?",editorial
" In a better world — no — in a better world I would be able to get a retraction or a correction. Not even a retraction, a correction.", So in a better world would you be able to sue me?,editorial
" I had one basic big libel suit, it was a very bad system, it was New Jersey. I had a great judge, the first one, and I was going to win it. And then I had another good judge, the second one, and then they kept switching judges. And the third one was a bad judge. That’s what happened. But, uh…"," Well, now, you’ve been a plaintiff in libel suits so you know a little bit of the elements …",editorial
" I would make it so that when someone writes incorrectly, yeah, I think I would get a little bit away from malice without having to get too totally away. Look, I think many of the stories about me are written badly. I don’t know if it’s malice because the people don’t know me. When Charles writes about me or when Ruth writes about me, you know, we’ve never really met. And I get these stories and they’re so angry and I actually say, I actually say, “How could they write?” – and many stories I must tell you, many stories are written that with a brief phone call could be corrected before they’re written. Nobody calls me.", But there’s standards like malice is required. Would you weaken that? Would you require less than malice for news organizations?,editorial
" Fairness, fairness is, you know, part of the word. But you know, I’ve had stories that are written that are absolutely incorrect. I’ll tell you now and the word “intent”, as you know, is an important word, as you know, in libel. I’ll give you an example. Some of the media, not all of it, but some of it, is very, very strong on – you know I get these massive crowds of people, and we’ll get protesters. And these protesters are honestly, they’re very bad people. In many cases, they’re professionals. Highly trained professionals. And I will rent an arena for 20,000 seats and they will come in – because there’s really no way – how you going to be able to tell – somebody said “oh you shouldn’t let ‘em in” – how you gonna know, you know? They walk in.  So we had an incident this weekend, which was amazing in Tucson, Arizona where a man, a protestor, wearing a Ku Klux Klan outfit, another one dragging an American flag, was walking out of the arena, and an African American man who was a supporter was sitting there listening to the speech and we had to stop because they were so loud – they’re so loud, these people, I don’t know what they do, they’re trained voices or something. And they’re walking up and you saw it, because it was all over television, and the African American man became incensed I think the guy said something to him like you know what, like “screw you,” okay? Or worse. I think, because he looked over to him and said something to him and the guy just had it. Now, they were together, these two. The one wearing a Ku Klux Klan, the other dragging a flag or something, but the African American man, who I think was an Air Force person, I just read he had a pretty stellar life so far. And he just became incensed. So when I saw the television yesterday early in the morning I saw the Ku Klux Klan, I saw exactly what happened. By the time it got on to the national shows that was for the most part taken out. They just had this African American smacking, you know, fighting. And it didn’t make sense, you know, why, why. But if you saw it in the morning it made a lot more sense. We don’t condone violence at all but it’s very, very unfair reporting and we, you know…", How are you defining “incorrect?” It seems like you’re defining it as fairness or your view of fairness rather than accuracy.,editorial
 I say that.," Sorry, when you say we don’t condone violence —",editorial
" No, because what I am referring to is, we’ve had some very bad people come in. We had one guy — and I said it — he had the voice — and this was what I was referring to — and I said, “Boy, I’d like to smash him.” You know, I said that. I’d like to punch him. This guy was unbelievably loud. He had a voice like Pavarotti. I said if I was his manager I would have made a lot of money for him, because he had the best voice. I mean, the guy was unbelievable, how loud he was. And he was a swinger. He was hitting people. He was punching and swinging and screaming — you couldn’t make — so you have to stop. You know, there is also something about the First Amendment, but you had to stop. And, so, this one man was very violent and very loud. And when he was being taken out, he walked out like this, with his finger way up, like, “screw everybody.” And that’s when I made that statement. He was absolutely out — I mean, he hit people and he screamed and then he was walking out and he’s giving everybody the finger. And they don’t talk about that. See, they don’t talk about that. They say, “Donald, wait a second, Donald, don’t” —"," You say that. But you’ve also said, “In the good old days, he would have been ripped out of his seat so fast, you wouldn’t believe it.” Isn’t that condoning violence?",editorial
" No, I condone strong law and order. I’ll tell you what they —", But your answer is you condone violence when the guy is really egregious and terrible?,editorial
 Well he punched other people.," Rip him out of his seat, punch him in the face, isn’t that violent?",editorial
" Fred, he punched other people. He was punching people. He was — one guy was, you know, I’d like to say —"," No, I understand that.",editorial
 No., The Fayetteville protester who was sucker punched — he didn’t punch anyone —,editorial
 No. When are you talking about? When?," He was being escorted from police, and he was sucker punched.",editorial
 I don’t know. I don’t know which one., North Carolina.,editorial
 I don’t know. Because we’ve had so many —, Yes you do.,editorial
 Oh well that’s a different — that’s different from the one I’m talking about. This one was about a month ago. This one was before Fayetteville., That’s the gentleman you said you were going to look into to see whether or not to pay his legal fees.,editorial
" No I don’t, no I don’t, that’s different —"," Well, okay, Fayetteville, do you condone violence in that case —",editorial
" By the way, that’s different —", Where the protester is being walked out —,editorial
" He did give the finger, and —"," But, yet, you explained it that he was giving the finger and so he provoked it, so he got sucker punched. And you are going to possibly pay for his legal expenses.",editorial
" Well, a lot of people don’t — you know, the finger means, “F you.” A lot of people think — and you have children there, you have a lot of children that go, you know, they go with their parents — a lot of people think that’s very inappropriate. I mean, you know —", So that’s okay?,editorial
" Well, I think it is.", It’s certainly inappropriate.,editorial
 So do you let him —, But does it — is it — does it qualify to —,editorial
" Again I don’t condone it. So do you let him walk out, he’s holding up his finger, telling everybody. Same thing happened, you know, the last one in —", — to punch him in the face?,editorial
 I didn’t offer —," I guess the question is, when you then offer to pay the guy’s legal fees, isn’t that —",editorial
" No, I didn’t offer, Fred —", Isn’t that condoning?,editorial
 I said I want to look into it. I said I want to look into it. I didn’t say that., You said you would consider it —,editorial
" No, I don’t think so.", Isn’t that condoning?,editorial
 Don’t think so., Doesn’t that convey a message of approval?,editorial
 It’s true.," To be fair, before every event, there is a public service announcement made about —",editorial
 Strong., — any potential protesters. That is made to everybody that says —,editorial
" Very loud, and it’s repeated over and over. Actually, I guess it’s on tape, but they repeat it over and over. One thing that was interesting this weekend. We had in Phoenix, Arizona, we had an interesting incident. We had people, we had a major highway coming into the arena. It’s not an arena, it’s a huge open space, 60 acres, and it was packed. And we had a major highway coming in, and people — protesters — stopped their car in the middle of the highway, chained themselves to their cars, and the cars — blocked. They were there for a while. A car was not able to move. They were backed up for 20 — I mean, like, just forever. And, it was terrible. And they were very abusive, screaming, you know, “screw you, screw you, pigs, pigs” — meaning to the cops. Sheriff Joe Arpaio — now that was his territory. Okay, he’s a tough cookie. Sheriff Joe saw this, he gave them a couple of minutes to move their car — they didn’t move them — cut the chains, arrested the people and just moved the cars over. I don’t know how they did it — just, they were gone in minutes after he came there. Minutes. It was amazing how quick. They actually had chains around their necks. They didn’t even know why they were there. People – somebody was interviewed, “Why are you here?” “Well, I don’t know, I’m not sure.” They didn’t even know."," — please do not engage these protesters. You know, they may cause a disturbance. Please do your best, let local law enforcement handle this or security at that venue. The problem becomes, with a massive crowd of twenty or thirty or forty thousand people, the resources that are there don’t have the ability to get to all these people in a manner before the crowd reacts, because the agitators are inciting those people. So we are very clear at the onset, that there is a loud public notice that says, “please do not engage these people, please let them do their job, and let the local law enforcement deal with that.” That’s said at the very front end at every event.",editorial
 I would just loosen them up., But just – given the Supreme Court rulings on libel — Sullivan v. New York Times — how would you change the law?,editorial
" I’d have to get my lawyers in to tell you, but I would loosen them up. I would loosen them up. If The Washington Post writes badly about me – and they do, they don’t write good – I mean, I don’t think I get – I read some of the stories coming up here, and I said to my staff, I said, “Why are we even wasting our time? The hatred is so enormous.” I don’t know why. I mean, I do a good job. I have thousands of employees. I work hard.", What does that mean?,editorial
" No, if it’s wrong. If it’s wrong."," Would that be the standard then? If there is an article that you feel has hatred, or is bad, would that be the basis for libel?",editorial
" I mean, The Washington Post never calls me. I never had a call, “Why – why did you do this?” or “Why did you do that?” It’s just, you know, like I’m this horrible human being. And I’m not. You know, the one thing we have in common I think we all love the country. Now, maybe we come at it from different sides, but nobody ever calls me. I mean, Bob Costa calls about a political story – he called because we’re meeting senators in a little while and congressmen, supporters – but nobody ever calls.", Wrong whether there’s malice or not?,editorial
" I want to make it more fair from the side where I am, because things are said that are libelous, things are said about me that are so egregious and so wrong, and right now according to the libel laws I can do almost nothing about it because I’m a well-known person you know, etc., etc."," The reason I keep asking this is because you’ve  said three times you’ve said we are going to open up the libel laws and when we ask you what you mean you say hatred, or bad–",editorial
" Look, I see NATO as a good thing to have – I look at the Ukraine situation and I say, so Ukraine is a country that affects us far less than it affects other countries in NATO, and yet we are doing all of the lifting, they’re not doing anything. And I say, why is it that Germany is not dealing with NATO on Ukraine? Why is it that other countries that are in the vicinity of the Ukraine not dealing with — why are we always the one that’s leading, potentially the third world war, okay, with Russia? Why are we always the ones that are doing it? And I think the concept of NATO is good, but I do think the United States has to have some help. We are not helped. I’ll give you a better example than that. I mean, we pay billions– hundreds of billions of dollars to supporting other countries that are in theory wealthier than we are."," Back to foreign policy a little bit, can you talk a little bit about what you see as the future of NATO? Should it expand in any way?",editorial
" Billions. Well if you look at Germany, if you look at Saudi Arabia, if you look at Japan, if you look at South Korea  — I mean we spend billions of dollars on Saudi Arabia, and they have nothing but money. And I say, why? Now I would go in and I would structure a much different deal with them, and it would be a much better deal. When you look at the kind of money that our country is losing, we can’t afford to do this. Certainly we can’t afford to do it anymore.", Hundreds of billions?,editorial
" I think the answer is yes, it was, but I don’t see other people doing much about it. I see us doing things about it, but I don’t see other people doing much about it."," About Ukraine, was it right for the United States to impose sanctions on Russia when they invaded Crimea and would you keep those sanctions on them?",editorial
" No I didn’t, oh no no no, okay, I know what you’re saying. There was a question asked to me. I said that the military, the generals have said that 20- to 30,000. They said, would you send troops? I didn’t say send 20,000. I said, well the generals are saying you’d need because they , what would it take to wipe out ISIS, I said pretty much exactly this, I said the generals, the military is saying you would need 20- to 30,000 troops, but I didn’t say that I would send them."," And could I ask you about ISIS, speaking of making commitments, because you talked recently about possibly sending 20 or 30,000 troops and—",editorial
" I find it hard to go along with—I mention that as an example because it’s so much. That’s why I brought that up. But a couple of people have said the same thing as you, where they said did I say that and I said that that’s a number that I heard would be needed. I would find it very, very hard to send that many troops to take care of it. I would say this, I would put tremendous pressure on other countries that are over there to use their troops and I’d give them tremendous air supporters and support , because we have to get rid of ISIS, okay, just so — we have to get rid of ISIS. I would get other countries to become very much involved."," If they said that, would you go along with that and send the troops?",editorial
" I think it’s a terrible situation, I think it’s terrible they have no respect for–", What about China and the South China Sea. What do you think they’re up to and—,editorial
" Well look, we have power over China and people don’t realize it. We have trade power over China. I don’t think we are going to start World War III over what they did, it affects other countries certainly a lot more than it affects us. But—and honestly, you know part of—I always say we have to be unpredictable. We’re totally predictable.  And predictable is bad. Sitting at a meeting like this and explaining my views and if I do become president, I have these views that are down for the other side to look at, you know. I hate being so open. I hate when they say — like I said get rid of the oil, keep the oil, different things over the years, when people are saying what would you do with regard to the Middle East, when we left — We should have never been in Iraq. It was a horr- it was one of the worst decisions ever made in the history of our country. We then got out badly, then after we got out, I said, “Keep the oil. If we don’t keep it Iran’s going to get it.” And it turns out Iran and ISIS basically—", –and what should we do about it?,editorial
" You would… You would, well for that– for that, I would circle it. I would defend those areas."," How do you keep it without troops, how do you defend the oil?",editorial
" Yeah, I would defend the areas with the oil.  And I would have taken out a lot of oil. And, uh, I would have kept it. I mean, I would have kept it, because Iran has the oil, and they’re going to have the oil, well, the stuff they don’t have, because Iran is taking over Iraq as sure as you’re sitting there. And I’ve been very good on this stuff. My prognostications, my predictions have become, have been very accurate, if you look.", With U.S. troops?,editorial
" Well I know China very well, because I deal with China all the time. I’ve done very well. China’s unbelievably ambitious. China is, uh… I mean, when I deal with China, you know, I have the Bank of America building, I’ve done some great deals with China. I do deals with them all the time on, you know, selling apartments, and, you know, people say ‘oh that’s not the same thing.’ The level of… uh, the largest bank in the world, 400 million customers, is a tenant of mine in New York, in Manhattan. The biggest bank in China. The biggest bank in the world.", So what do you think China’s aims are in the South China Sea?,editorial
" I think so, yeah. I think so", Could you use trade to cause them to retreat in the South China Sea?,editorial
" We, well, you start making it tougher. They’re selling their products to us for… you know, with no tax, no nothing. By the way, we can’t deal with them, but they can deal with us. See, we are free trade. The story is, and I have so many people that deal with China –they can easily sell their product here. No tax, no nothing, just ‘come on, bring it all in, you know, bring in your apples, bring in everything you make’ and no taxes whatsoever, right? If you want to deal with China, it’s just the opposite. You can’t do that. In other words, if you want to, if you’re a manufacturer, you want to go into China? It’s very hard to get your product in, and if you get it in you have to pay a very big tax.", What would you do?,editorial
" Well, I, you know, again, I don’t like to tell you what I’d do, because I don’t want to… You understand what I’m saying, Fred? If I… Okay, if I say ‘Well, we should go in and do this or that or that,’ I don’t want to, I don’t want to sort of… red flag all over it. I do think this It’s an unbelievable thing that they’ve done, it’s unbelievable aggression, it’s unbelievable lack of respect for this country."," So, if they occupied what the Japanese call the Senkaku Islands, is that something the United States…",editorial
" Well I’ll give you, I’ll give you an example. President Obama, when he left Iraq, gave a specific date – we’re going to be out. I thought that was a terrible thing to do.  And the enemy pulled back, because they don’t want die.  Despite what you read, you know, they don’t want to die — and they just pulled back, and after we left, all hell broke out, right? And I’ll give you another example that I think was terrible when they sent, a few months ago, they sent fifty troops in. You know, fifty elite troops. Now, why do we have to have a news conference to announce that we’re sending fifty troops? So those troops now have targets on their back. And…you shouldn’t do it.  We’re so predictable “Ladies and gentlemen, we’re sending fifty troops into Iraq or Syria. And these are our elite troops. And they’re going to do this and that and that and this.” And those troops now are being hunted. If you didn’t send them, they wouldn’t – if you didn’t say that, they wouldn’t know. I mean, there are times when you just can’t be… You talk too much. We talk too much. I guess they thought that was good politically, to say we’re sending fifty troops? I don’t think it was good."," This theory of unpredictability, I want to push a little bit, I mean – there are many people who think that North Korea invaded South Korea precisely because Acheson wasn’t clear that we would defend South Korea. So I’m curious, does ambiguity sometimes have dangers?",editorial
 Yes.," Can I ask you…Just going back to NATO, because…",editorial
" No, I don’t want to pull it out. NATO was set up at a different time. NATO was set up when we were a richer country. We’re not a rich country. We’re borrowing, we’re borrowing all of this money. We’re borrowing money from China, which is a sort of an amazing situation. But things are a much different thing. NATO is costing us a fortune and yes, we’re protecting Europe but we’re spending a lot of money. Number 1, I think the distribution of costs has to be changed. I think NATO as a concept is good, but it is not as good as it was when it first evolved. And I think we bear the, you know, not only financially, we bear the biggest brunt of it. Obama has been stronger on the Ukraine than all the other countries put together, and those other countries right next door to the Ukraine. And I just say we have, I’m not even knocking it, I’m just saying I don’t think it’s fair, we’re not treated fair. I don’t think we’re treated fair, Charles, anywhere. If you look everything we have. You know, South Korea is very rich. Great industrial country. And yet we’re not reimbursed fairly for what we do. We’re constantly, you know, sending our ships, sending our planes, doing our war games, doing other. We’re reimbursed a fraction of what this is all costing."," As you know, the whole theory of NATO from the beginning  was to keep the United States involved in the long term in Europe to balance, to promote a balance of power in that region so we wouldn’t have a repeat of World War I and World War 2. And it seems to be like what you’re saying is very similar to what President Obama said to Jeffrey Goldberg, in that we have allies that become free riders. So it seems like there’s some convergence with the president there. What concerns me about both is that to some extent it was always thought to be in our interest that we, yes, we would take some of the burden on, yes, even if the net-net was not 100 percent, even steven, with the Germans. So I’d like to hear you say very specifically, you know, with respect to NATO, what is your ask of these other countries? Right, you’ve painted it in very broad terms, but do you have a percent of GDP that they should be spending on defense? Tell me more. Because it’s not that you want to pull the U.S. out.",editorial
 50 percent?,"  You know, well, they say and I think this is on public record, it’s basically 50 percent of the non-personnel cost is paid by South Korea and Japan.",editorial
 Why isn’t it 100 percent?, Yeah.,editorial
" Personally I don’t think so. I personally don’t think so. Look. I have great relationships with South Korea. I have buildings in South Korea. But that’s a wealthy country. They make the ships, they make the televisions, they make the air conditioning. They make tremendous amounts of products. It’s a huge, it’s a massive industrial complex country. And —"," Well I guess the question is, does the United States gain anything by having bases?",editorial
" I think that we are not in the position that we used to be. I think we were a very powerful, very wealthy country. And we’re a poor country now. We’re a debtor nation. How you going to get rid – let me ask you – how are you going get rid of $21 trillion in debt? You’re going to be at 21 trillion in a matter of minutes because of that new omnibus budget. So they passed that ridiculous omnibus budget. How you going to get rid of that debt. We’re spending that to protect other countries. We’re not spending it on ourselves. Because we have, we have armor-plated vehicles that are obsolete. The best ones are given to the enemy. We give them to our allies over in the Middle East. A bullet shot in the air and they immediately run and the enemy takes over. I have a friend whose son is in his third, his third tour over in Iraq. He’s over in, I mean he’s a very special kid, he’s a great kid. But he’s over in the Middle East, and, uh, Afghanistan, different parts of the Middle East, actually. And he said to me, I said to him what do you think. And he said, it’s so sad. He said the enemy has our equipment – the new version — and we have all the old version, and the enemy has our equipment, because they get into a fight with the so-called people like the Freedom Fighters, you know the whole Syrian deal, where we’re sending billions and billions of dollars worth, and they capture the equipment. In most cases the shots are fired and everybody leaves. And these are the people we’re backing. And we don’t know if it’s going to be another Saddam Hussein deal, in other words, let’s get rid of Assad with these people and these people end up being worse. Okay? But he said, they have better equipment. It’s our equipment. They have, I guess we send 2,300 Humvees over, all armor-plated. So we have wounded warriors, with no legs, with no arms, because they were driving in stuff without the armor. And the enemy has most of the new ones we sent over that they captured. And he said, it’s so discouraging when they see that the enemy has better equipment than we have – and it’s our equipment.", So you don’t think the US gains from being the force that sort of that helps keep the peace in the Pacific?,editorial
" Look, they are spending vicious … I don’t even know these people. Those Ricketts. I actually said they ought to focus on the Chicago Cubs and, you know, stop playing around. They spent millions of dollars fighting me in Florida. And out of 68 counties, I won 66. I won by 20 points, almost 20 points. Against, everybody thought he was a popular sitting senator. I had $38 million dollars spent on me in Florida over a short period of time. $38 million. And, you know, the Ricketts, I don’t even know these people."," I’d like to come back to the campaign. You said a few weeks ago after a family in Chicago gave some money to a PAC opposing you, you said, “They better watch out. They have a lot to hide.” What should they watch out for?",editorial
" Well, it means that I’ll start spending on them. I’ll start taking ads telling them all what a rotten job they’re doing with the Chicago Cubs. I mean, they are spending on me. I mean, so am I allowed to say that? I’ll start doing ads about their baseball team. That it’s not properly run or that they haven’t done a good job in the brokerage business lately."," So, what does it mean, “They better watch out”?",editorial
