answer,query,source
-- yourself great plans. And then we have to take care of the people that can't take care of themselves. And I will do that through a different system.,"And the Middle East became totally destabilized. So I just want to say. As far as single payer, it works in Canada. It works incredibly well in Scotland. It could have worked in a different age, which is the age you're talking about here. What I'd like to see is a private system without the artificial lines around every state. I have a big company with thousands and thousands of employees. And if I'm negotiating in New York or in New Jersey or in California, I have like one bidder. Nobody can bid. You know why? Because the insurance companies are making a fortune because they have control of the politicians, of course, with the exception of the politicians on this stage. But they have total control of the politicians. They're making a fortune. Get rid of the artificial lines and you will have...",primary01
I'm not -- I'm not are -- I don't think you heard me. You're having a hard time tonight.,-- for a decade. So I think you're on the wrong side of this if you're still arguing for a single-payer system.,primary01
You'd better believe it.,"it's not just your past support for single- payer health care. You've also supported a host of other liberal policies. Use -- you've also donated to several Democratic candidates, Hillary Clinton included, Nancy Pelosi. You explained away those donations saying you did that to get business-related favors. And you said recently, quote, ""When you give, they do whatever the hell you want them to do.""",primary01
"If I ask them, if I need them, you know, most of the people on this stage I've given to, just so you understand, a lot of money.",#NAME?,primary01
Many of them.,But you're welcome to give me  Donald if you'd like.,primary01
#NAME?,"Hey, Charlie...",primary01
I have good...,#NAME?,primary01
"Sounds good. Sounds good to me, Governor. I will tell you that our system is broken. I gave to many people, before this, before two months ago, I was a businessman. I give to everybody. When they call, I give. And do you know what? When I need something from them two years later, three years later, I call them, they are there for me.",#NAME?,primary01
And that's a broken system.,So what did you get?,primary01
"Well, I'll tell you what, with Hillary Clinton, I said be at my wedding and she came to my wedding. You know why? She didn't have a choice because I gave. I gave to a foundation that, frankly, that foundation is supposed to do good. I didn't know her money would be used on private jets going all over the world. It was.",What did you get from Hillary Clinton and Nancy Pelosi?,primary01
"Because I have used the laws of this country just like the greatest people that you read about every day in business have used the laws of this country, the chapter laws, to do a great job for my company, for myself, for my employees, for my family, et cetera. I have never gone bankrupt, by the way. I have never. But out of hundreds of deals...","you talk a lot about how you are the person on this stage to grow the economy. I want to ask you about your business record. Trump corporations -- Trump corporations, casinos and hotels, have declared bankruptcy four times over the last quarter-century. In 2011, you told Forbes Magazine this ""I've used the laws of the country to my advantage."" But at the same time, financial experts involved in those bankruptcies say that lenders to your companies lost billions of dollars. Question sir, with that record, why should we trust you to run the nation's business?",primary01
Excuse me. Excuse me.,"No, but the concept sir...",primary01
"Excuse me, what am I saying? Out of hundreds of deals that I've done, hundreds, on four occasions I've taken advantage of the laws of this country, like other people. I'm not going to name their names because I'm not going to embarrass, but virtually every person that you read about on the front page of the business sections, they've used the law. The difference is, when somebody else uses those laws, nobody writes about it. When I use it, they say, ""Trump, Trump, Trump."" The fact is, I built a net worth of more than $10 billion. I have a great, great company. I employ thousands of people. And I'm very proud of the job I did. Again Chris, hundreds and hundreds of deals. Four times, I've taken advantage of the laws. And frankly, so has everybody else in my position.","... that's your line, but your companies have gone bankrupt.",primary01
"Let me just tell you about the lenders. First of all, these lenders aren't babies. These are total killers. These are not the nice, sweet little people that you think, OK? You know, I mean you're living in a world of the make-believe, Chris, you want to know the truth. And I had the good sense to leave Atlantic City, which by the way, Caesars just went bankrupt. Every company, Chris can tell you, every company virtually in Atlantic City went bankrupt. Every company. And let me just tell you. I had the good sense, and I've gotten a lot of credit in the financial pages, seven years ago I left Atlantic City before it totally cratered, and I made a lot of money in Atlantic City, and I'm very proud of it. I want to tell you that. Very, very proud of it.",Is that the way that you'd run the country?,primary01
"And by the way, this country right now owes $19 trillion. And they need somebody like me to straighten out that mess.","Let me just tell you about the lenders. First of all, these lenders aren't babies. These are total killers. These are not the nice, sweet little people that you think, OK? You know, I mean you're living in a world of the make-believe, Chris, you want to know the truth. And I had the good sense to leave Atlantic City, which by the way, Caesars just went bankrupt. Every company, Chris can tell you, every company virtually in Atlantic City went bankrupt. Every company. And let me just tell you. I had the good sense, and I've gotten a lot of credit in the financial pages, seven years ago I left Atlantic City before it totally cratered, and I made a lot of money in Atlantic City, and I'm very proud of it. I want to tell you that. Very, very proud of it.",primary01
"I don't think they like me very much. I'll tell you what. I've evolved on many issues over the years. And you know who else has? Is Ronald Reagan evolved on many issues. And I am pro-life. And if you look at the question, I was in business. They asked me a question as to pro-life or choice. And I said if you let it run, that I hate the concept of abortion. I hate the concept of abortion. And then since then, I've very much evolved. And what happened is friends of mine years ago were going to have a child, and it was going to be aborted. And it wasn't aborted. And that child today is a total superstar, a great, great child. And I saw that. And I saw other instances. And I am very, very proud to say that I am pro-life. As far as being a Republican is concerned, I come from a place, New York City, which is virtually, I mean, it is almost exclusively Democrat. And I have really started to see some of the negatives -- as an example, and I have a lot of liking for this man, but the last number of months of his brother's administration were a catastrophe. And unfortunately, those few months gave us President Obama. And you can't be happy about that.","in 1999, you said you were, quote, ""very pro- choice."" Even supporting partial-birth abortion. You favored an assault weapons ban as well. In 2004, you said in most cases you identified as a Democrat. Even in this campaign, your critics say you often sound more like a Democrat than a Republican, calling several of your opponents on the stage things like clowns and puppets. When did you actually become a Republican?",primary01
"First of all, Jeb, I am very happy that you denied that, and I appreciate that very much. He is a true gentleman. He really is. One thing he did say, and I mean that. The one thing he did say about me, however, was my tone. And I also understand that. But when you have people that are cutting Christians' heads off, when you have a world that the border and at so many places, that it is medieval times, we've never -- it almost has to be as bad as it ever was in terms of the violence and the horror, we don't have time for tone. We have to go out and get the job done.",30 seconds.,primary01
"I would be so different from what you have right now. Like, the polar opposite. We have a president who doesn't have a clue. I would say he's incompetent, but I don't want to do that because that's not nice.","Welcome back to Cleveland. Our next topic is foreign policy. Candidates, you may not have seen the late developing news today our Fox Pentagon team broke earlier this evening about a top Iranian general traveling to Moscow to meet with Russian President Vladimir Putin. His name is General Qassem Soleimani, he's blamed for hundreds of U.S. troops death in Iraq, and Afghanistan. His trip to Russia appears to directly violate U.N. Security Council resolutions to confine him to Iran. So, if you were president, how would you respond to this?",primary01
"But if you look at the deals we make, whether it's the nuclear deal with 24 hour periods -- and by the way, before you get to the 24 hours, you have to go through a system. You look at Sergeant Bergdahl, we get Bergdahl, a traitor, and they get five of the big, great killers leaders that they want. We have people in Washington that don't know what they're doing. Now...","I would be so different from what you have right now. Like, the polar opposite. We have a president who doesn't have a clue. I would say he's incompetent, but I don't want to do that because that's not nice.",primary01
"Now, with Iran, we're making a deal, you would say, we want him. We want out our prisoners. We want all these things, and we don't get anything. We're giving them $150 billion dollars plus, they are going to be -- I'll tell you what, if Iran was a stock, you folks should go out and buy it right now because you'll quadruple -- this, what's happening in Iran, is a disgrace, and it's going to lead to destruction in large portions of the world.","But if you look at the deals we make, whether it's the nuclear deal with 24 hour periods -- and by the way, before you get to the 24 hours, you have to go through a system. You look at Sergeant Bergdahl, we get Bergdahl, a traitor, and they get five of the big, great killers leaders that they want. We have people in Washington that don't know what they're doing. Now...",primary01
"Our country is in serious trouble. We don't win anymore. We don't beat China in trade. We don't beat Japan, with their millions and millions of cars coming into this country, in trade. We can't beat Mexico, at the border or in trade. We can't do anything right. Our military has to be strengthened. Our vets have to be taken care of. We have to end Obamacare, and we have to make our country great again, and I will do that.","closing statement, sir.",primary01
"I'm Donald Trump. I wrote ""The Art of the Deal"". I say not in a braggadocious way, I've made billions and billions of dollars dealing with people all over the world, and I want to put whatever that talent is to work for this country so we have great trade deals, we make our country rich again, we make it great again. We build our military, we take care of our vets, we get rid of Obamacare, and we have a great life altogether. Thank you. Thank you.","Hi, I'm Ben Carson, and I'm a retired pediatric neurosurgeon. I'm here with my wife, Candy, of 40 years, and two of my sons, and their wives. I stress the pediatric part of my career because the reason that I've gotten involved in this race is because I'm very concerned about the future of our children, and the direction of our country is one that does not portend well, unless we, the people, intervene and retake our rightful place at the pinnacle. And I just want to be - make it clear that I'm grateful to be here with all of you again, and welcome the addition of Carly Fiorina, as well.",primary02
"Well, first of all, Rand Paul shouldn't even be on this stage. He's number 11, he's got 1 percent in the polls, and how he got up here, there's far too many people anyway. As far as temperament - and we all know that - as far as temperament, I think I have a great temperament. I built a phenomenal business with incredible, iconic assets, one of the really truly great real-estate businesses. And I may be an entertainer, because I've had tremendous success with number-one bestsellers all over the place, with ""The Apprentice"" and everything else I've done. But I will tell you this What I am far and away greater than an entertainer is a businessman, and that's the kind of mindset this country needs to bring it back, because we owe $19 trillion right now, $19 trillion, and you need this kind of thinking to bring our country back. And believe me, my temperament is very good, very calm. But we will be respected outside of this country. We are not respected now.","That's not for me to answer; it is for the voters of this country to answer, and I have a lot of faith in the common sense and good judgment of the voters of the United States of America.",primary02
"I never attacked him on his look, and believe me, there's plenty of subject matter right there. That I can tell you.","I kind of have to laugh when I think of, ""Mmm, sounds like a non sequitur."" He was asked whether or not he would be capable and it would be in good hands to be in charge of the nuclear weapons, and all of a sudden, there's a sideways attack at me. I think that really goes to really the judgment. Do we want someone with that kind of character, that kind of careless language to be negotiating with Putin? Do we want someone like that to be negotiating with Iran? I think really there's a sophomoric quality that is entertaining about but I am worried. I'm very concerned about him - having him in charge of the nuclear weapons, because I think his response, his - his visceral response to attack people on their appearance - short, tall, fat, ugly - my goodness, that happened in junior high. Are we not way above that? Would we not all be worried to have someone like that in charge of the nuclear arsenal?",primary02
"I've actually been in politics all my life, although I've been on that side as opposed to this side. I'm now a politician for about three months. Obviously, I'm doing pretty well. I'm number one in every polls  by a lot. But the qualification is that I've dealt with people all over the world, been successful all over the world. Everything I've done virtually has been a tremendous success. When markets changed, when things turned, I heard Governor Pataki, who, by the way, was a failed governor in New York, a very seriously failed - he wouldn't be elected dog catcher right now. I heard what he had to say. And I will tell you this Atlantic City, I've made a tremendous amount of money in Atlantic City. I left seven years ago, I've gotten great credit for my timing, and that's what I'm all about. I'm a businessman, did really well, really well, and Jeb, what I want to do is put that ability into this country to make our country rich again. And I can do that, and I'm not sure that anybody else in the group will be able to do that.","... I want to give you another chance - I want to give you a chance to respond to something that your rival to your left, Governor Bush, said. Governor Bush told me last week when I read him the quote from Governor Jindal that he agrees you're not a serious candidate. Tell Governor Bush why you are a serious candidate and what your qualifications are to be commander-in-chief. ",primary02
"But I have to say... WALKER This is actually what's wrong - this is what's wrong with this debate. We're not talking about real issues. And Mr. Trump, we don't need an apprentice in the White House. We don't need an apprentice in the White House. We have one right now. He told us all the things we wanted to hear back in 2008. We don't know who you are or where you're going. We need someone who can actually get the job done. And you talked about business.","I think the voters will make that determination. But what I know to be true is that the next president of the United States is going to have to fix an extraordinary difficult situation. This administration, with President Obama and Hillary Clinton, has created insecurity the likes of which we never would've imagined. There's not a place in the world where we're better off today than six and a half years ago. And that requires a steadiness. That requires an understanding of how the world works. That requires an understanding and appreciation of American leadership in the world. You can't just, you know, talk about this stuff and insult leaders around the world and expect a good result. You have to do this with a steady hand, and I believe I have those skills. WALKER Jake, this is - this is - this is...",primary02
"Well, in Wisconsin... WALKER You - you - let me finish...",But I have to say... WALKER This is actually what's wrong - this is what's wrong with this debate. We're not talking about real issues. And we don't need an apprentice in the White House. We don't need an apprentice in the White House. We have one right now. He told us all the things we wanted to hear back in 2008. We don't know who you are or where you're going. We need someone who can actually get the job done. And you talked about business.,primary02
"WALKER No, no...","Well, in Wisconsin... WALKER You - you - let me finish...",primary02
"In Wisconsin, you're losing $2.2 billion right now. WALKER You're using the talking...","WALKER No, no...",primary02
"I would do so much better than that. WALKER Mr. Trump, you're using the talking points of the Democrats...","In Wisconsin, you're losing $2.2 billion right now. WALKER You're using the talking...",primary02
WALKER ... and as we all know...,I would do so much better than that. WALKER you're using the talking points of the Democrats...,primary02
"I'm using facts. WALKER ... that failed three times in four and a half years when I got elected, because it is working. We balanced a budget. You want to talk about balanced budgets? You took four major projects into bankruptcy over and over and over again. You can't take America into bankruptcy. That's what's wrong with the politicians in Washington right now. They think we can take a country into bankruptcy.",WALKER ... and as we all know...,primary02
"Every major business leader, has used the - I never went bank bankrupt, by the way, as you know, everybody knows. But - hundreds of companies, hundreds of deals, I used the law four times and made a tremendous thing. I'm in business. I did a very good job. But I will say this, and people are very, very impressed with what I've done, the business people. But when the folks of Iowa found out the true facts of the job that you've done in Wisconsin, all of a sudden you, tubed , he was No. 1 and now he's No. 6 or seven in the polls. So, look, we brought it out, you were supposed to make a billion dollars in the state. You lost 2.2 - you have right now, a huge budget deficit. That's not a Democratic point. That's a point. That's a fact. And when the people of Iowa found that out, I went to No. 1 and you went down the tubes.","I'm using facts. WALKER ... that failed three times in four and a half years when I got elected, because it is working. We balanced a budget. You want to talk about balanced budgets? You took four major projects into bankruptcy over and over and over again. You can't take America into bankruptcy. That's what's wrong with the politicians in Washington right now. They think we can take a country into bankruptcy.",primary02
Totally false.,Yes you did.,primary02
I would have gotten it.,You wanted it and you didn't get it because I was opposed to -,primary02
I promise I would have gotten it.,- casino gambling before -,primary02
"I promise if I wanted it, I would have gotten it.",during and after. And that's not - I'm not going to be bought by anybody.,primary02
I know my people.,No way. Believe me.,primary02
I know my people.,Not even possible.,primary02
"No. I just will tell you that, you know, Jeb made the statement. I'm not only referring to him. I - a lot of money was raised by a lot of different people that are standing up here. And the donors, the special interests, the lobbyists have very strong power over these people. I'm spending all of my money, I'm not spending - I'm not getting any - I turned down - I turn down so much, I could have right now from special interests and donors, I could have double and triple what he's got. I've turned it down. I turned down last week $5 million from somebody. So I will tell you I understand the game, I've been on the other side all of my life. And they have a lot of control over our politicians. And I don't say that favorably, and I'm not sure if there's another system, but I say this. I am not accepting any money from anybody. Nobody has control of me other than the people of this country. I'm going to do the right thing.",Is there anything else you want to say about this?,primary02
That's true. That's true.,"Governor - BUSH: You've got, according to your - to what you said on one of the talk shows, you got Hillary Clinton to go to your wedding -",primary02
"I was - excuse me, Jeb.",- because you gave her money. Maybe it works for Hillary Clinton -,primary02
"I was a businessman, I got along with Clinton, I got along with everybody. That was my job, to get along with people.",- it doesn't work for anybody on this - on stage.,primary02
I didn't want to - excuse me. One second.,But the simple fact is -,primary02
"OK, more energy tonight. I like that.","No. The simple fact is, Donald, you could not take -",primary02
"I didn't want - it was my obligation as a businessman to my family, to my company, to my employees, to get along with all politicians. I get along with all of them, and I did a damn good job in doing it. Go ahead.",I was asked the question.,primary02
Got along with everybody.,"So he supports Pelosi, he supports Schumer, he supports Clinton -",primary02
"Don't make things up. Jeb, don't make things up. Come on.",We said no. And that's the simple fact. The simple fact is -,primary02
Don't make things up.,Don't cut me off.,primary02
"So, number one, they have to respect you. He has absolutely no respect for President Obama. Zero. Syria's a mess. You look at what's going on with ISIS in there, now think of this we're fighting ISIS. ISIS wants to fight Syria. Why are we fighting ISIS in Syria? Let them fight each other and pick up the remnants. I would talk to him. I would get along with him. I believe - and I may be wrong, in which case I'd probably have to take a different path, but I would get along with a lot of the world leaders that this country is not getting along with. We don't get along with China. We don't get along with the heads of Mexico. We don't get along with anybody, and yet, at the same time, they rip us left and right. They take advantage of us economically and every other way. We get along with nobody. I will get along - I think - with Putin, and I will get along with others, and we will have a much more stable - stable world.","Thank you, Dr. Carson. Let's move to Russia if we could. Russia is sending troops and tanks into Syria right now to prop up a U.S. enemy, Bashar al-Assad. President Obama's incoming top general says, quote, ""Russia presents the greatest threat to our national security."" you say you can do business with President Vladimir Putin, you say you will get along, quote, ""very well."" What would you do right now if you were president, to get the Russians out of Syria?",primary02
"I believe that I will get along - we will do - between that, Ukraine, all of the other problems, we won't have the kind of problems that our country has right now with Russia and many other nations. TAPPER: Senator Rubio, you've taken a very different approach to the - the question of Russia. You've called Vladimir Putin a, quote, ""gangster."" Why would President Rubio's approach be more effective than President Trump's?","So, you - just to clarify, the only answer I heard to the question I asked is that you would - you would reach out to Vladimir Putin, and you would do what? You would...",primary02
...Slow  chicken...,"...Thank you, Governor. I want to go to Senator Paul.",primary02
"I wouldn't have drawn the line, but once he drew it, he had no choice but to go across. They do bear some responsibility, but I think he probably didn't do it, not for that reason. Somehow, he just doesn't have courage. There is something missing from our president. Had he crossed the line and really gone in with force, done something to Assad - if he had gone in with tremendous force, you wouldn't have millions of people displaced all over the world.","Thank you, Jake. two years ago, President Obama drew a red line that the Syrian dictator Bashar Assad crossed, President Obama threatened to strike. He did not, his knees buckled. We now have 4 million refugees, Syria is a living hell, and he turned to the Congress for the authority to back him up. You have three senators to your right that said, no. Do they bear responsibility for this refugee crisis, and what would you have done when Bashar Assad crossed the line?",primary02
"They had a responsibility, absolutely. I think we have three of them here...","How much responsibility, do the senators hold?",primary02
"I think they had a responsibility, yes.",Senator Rubio...,primary02
"Jeb, just...","Thank you, Governor Bush. Donald Trump, let me just...",primary02
"I think it will haunt him. I think it's a terrible. I think it's going to haunt him absolutely. He came back later and he said he misspoke. There was no question because I heard when he said the statement. I was watching and he said the statement. And I said, wow, I can't believe it. I will take care of women. I respect women. I will take care of women. One thing we will say and I would like to get back to the Iran situation. We're talking about Iran. The agreement was terrible. It was incompetent. I've never seen anything like it. One of the worst contracts of any kind I've ever seen. And nobody ever mentions North Korea where you have this maniac sitting there and he actually has nuclear weapons and somebody better start thinking about North Korea and perhaps a couple of other places. But certainly North Korea. And Ted and I have spoken. We've - a lot of us have spoken. We're talking about Iran. They are bad actors, bad things are going to happen. But in the meantime, you have somebody right now in North Korea who has got nuclear weapons and who is saying almost every other week, I'm ready to use them. And we don't even mention it.","The quote was, ""I'm not sure we need half a billion dollars for women's health issues."" He said he misspoke. You said that that's going to haunt him. Why do you think that?",primary02
So why didn't you say it? Why didn't you say it?,"There are 13,000 community-based organizations that provide health services to women, 13,000 in this country. I don't believe that Planned Parenthood should get a penny from the federal government. Those organizations should get funding, just as I increased funding when I was governor of the state. That's the way you do this is you improve the condition for people. And, Donald, when I was governor, we also increased the opportunities for women. Women's income grew three times faster than the national average when I was governor.",primary02
"I know, but why did you say it? I heard it myself. Why did you say it?",We improved - we improved -,primary02
You said you're going to cut funding for women's health. You said it.,- we increased child support - we increased child support with a broken system by 90 percent.,primary02
You said it.,I have a proven record. I have a proven record.,primary02
"I think she's got a beautiful face, and I think she's a beautiful woman.","You know, it's interesting to me, Mr. Trump said that he heard Mr. Bush very clearly and what Mr. Bush said. I think women all over this country heard very clearly what Mr. Trump said.",primary02
"Correct. First of all, I want to build a wall, a wall that works. So important, and it's a big part of it. Second of all, we have a lot of really bad dudes in this country from outside, and I think Chris knows that, maybe as well as anybody. They go, if I get elected, first day they're gone. Gangs all over the place. Chicago, Baltimore, no matter where you look. We have a country based on laws. I will make sure that those laws are adhered to. These are illegal immigrants. I don't think you'd even be asking this question if I didn't run because when I ran, and I brought this up, my opening remarks at Trump Tower, I took heat like nobody has taken heat in a long time. And, then they found out with the killing of Katie, from San Francisco, and so many other crimes, they found out that I was right. And, most people, many people, apologized to me. I don't think you'd even be talking about illegal immigration if it weren't for me. So, we have a country of laws, they're going to go out, and they'll come back if they deserve to come back. If they've had a bad record, if they've been arrested, if they've been in jail, they're never coming back. We're going to have a country again. Right now, we don't have a country, we don't have a border, and we're going to do something about it, and it can be done with proper management, and it can be done with heart.","Welcome to CNN's Republican Presidential Debate. No topic perhaps has been more combustible in this campaign than the issue of immigration. you have called for deporting every undocumented immigrant, Governor Christie has said, quote, ""There are not enough law enforcement officers - local, county, state and federal combined - to forcibly deport 11 to 12 million people."" Tell Governor Christie how much your plan will cost, and how you will get it done.",primary02
"...By the way, I agree with - with what Chris is saying, but, I will say this. Illegal immigration is costing us more than $200 billion dollars a year just to maintain what we have.","Thank you, Governor Christie...",primary02
"Well, I have to tell you, I hear phenomenal things. I hear your wife is a lovely woman...","To subject my wife into the middle of a raucous political conversation was completely inappropriate, and I hope you apologize for that, Donald.",primary02
"I don't know her, and this is a total mischaracterization...",She is. She's fantastic.,primary02
"No, I won't do that, because I've said nothing wrong.",And why don't you apologize to her right now.,primary02
But I do hear she's a lovely woman.,"No, I won't do that, because I've said nothing wrong.",primary02
Jeb said...,"So, here's the deal. My wife is a Mexican-American. She's an American by choice. She loves this country as much as anybody in this room, and she wants a secure border. But she wants to embrace the traditional American values that make us special and make us unique. We're at a crossroads right now. Are we going to take the Reagan approach, the hopeful optimistic approach, the approach that says that, you come to our country legally, you pursue your dreams with a vengeance, you create opportunities for all of us? Or the Donald Trump approach? The approach that says that everything is bad, that everything is coming to an end. I...",primary02
"... that they come into our country as an act of love. With all of the problems we that we have, in so many instances - we have wonderful people coming in. But with all of the problems - this is not an act of love. He's weak on immigration - by the way, in favor of Common Core, which is also a disaster, but weak on immigration. He doesn't get my vote.",I'm on the Reagan side of this.,primary02
Not with this intensity.,"Immigration did not come up in 2016 because Mr. Trump brought it up. We talked about it in 2012, we talked about it in 2008. We talked about it in 2004.",primary02
"As I said, we are spending $200 billion - we are spending $200 billion a year on maintaining what we have. We will move them out. The great ones will come back, the good ones will come back. They'll be expedited, they'll be back, they'll come back legally. We'll have a country - they'll come back, legally.","Look, first of all, I wrote a book about this, three - four years ago, now. And I laid out a comprehensive, conservative approach for immigration reform. And it does require securing the border. No one disagrees with that. But to build a wall, and to deport people - half a million a month - would cost hundreds of billions of dollars, Donald. Hundreds of billions of dollars. It would destroy community life, it would tear families apart. And it would send a signal to the rest of the world that the United States values that are so important for our long-term success no longer matter in this country.",primary02
"Well, I think it's wonderful and all, but I did it a little bit half-heartedly, but I do mean it to a large extent. We have a country, where, to assimilate, you have to speak English. And I think that where he was, and the way it came out didn't sound right to me. We have to have assimilation - to have a country, we have to have assimilation. I'm not the first one to say this, Dana. We've had many people over the years, for many, many years, saying the same thing. This is a country where we speak English, not Spanish.","OK, on that note, you have criticized Governor Bush for speaking Spanish on the campaign trail. You said, quote, ""He should really set an example by speaking English in the United States."" What's wrong with speaking Spanish?",primary02
"This is a reporter, not a high school kid.","Well, I've been speaking English here tonight, and I'll keep speaking English. But the simple fact is, if a high school kid asks me a question in Spanish, a school - by the way, a voucher program that was created under my watch, the largest voucher program in the country, where kids can go to a Christian school, and they ask me a question in Spanish, I'm going to show respect and answer that question in Spanish. Even though they do speak English, and even though they embrace American values.",primary02
"Well, first of all, the - the 14th Amendment says very, very clearly to a lot of great legal scholars - not television scholars, but legal scholars - that it is wrong. It can be corrected with an act of Congress, probably doesn't even need that. A woman gets pregnant. She's nine months, she walks across the border, she has the baby in the United States, and we take care of the baby for 85 years. I don't think so. And by the way, Mexico and almost every other country anywhere in the world doesn't have that. We're the only ones dumb enough, stupid enough to have it. And people - and by the way, this is not just with respect to Mexico. They are coming from Asia to have babies here, and all of a sudden, we have to take care of the babies for the life of the baby. The 14th Amendment, it reads properly, you can go and - it's probably going to be have to be check - go through a process of court, probably ends up at the Supreme Court, but there are a lot of great legal scholars that say that is not correct. And in my opinion, it makes absolutely no - we're the only - one of the only countries, we're going to take care of those babies for 70, 75, 80, 90 years? I don't think so.","Thank you, Dr. Carson. I want to talk about the issue of birthright citizenship, which - which has emerged since the first debate as - as an a - a major issue in this campaign. you say that babies born in the United States to undocumented immigrants should not any longer get automatic American citizenship. Ms. Fiorina says that you are pandering on this issue and acting like the politicians that you rail against. What's your message to Ms. Fiorina on birthright citizenship?",primary02
"I agree 100 percent, by the way, with Carly on the fact that the Democrats do not want to solve this problem, for the obvious reasons, but they do not. But I believe that a reading of the 14th Amendment allows you to have an interpretation where this is not legal and where it can't be done. I've seen both sides, but some of the greatest scholars agree with me, without having to go through Congress. If you do go through Congress, you can absolutely solve the problem. ","Thank you, Ms. Fiorina. I want to give you the chance to respond...",primary02
"That's true, sure.","But you - you would stipulate, but not everyone agrees with you.",primary02
"- let me - well, let me just explain. The head of the Yale Business School, Jeffrey Sonnenfeld, wrote a paper recently, one of the worst tenures for a CEO that he has ever seen, ranked one of the top 20 in the history of business. The company is a disaster and continues to be a disaster. They still haven't recovered. In fact, today, on the front page of the Wall Street Journal, they fired another 25 or 30,000 people saying we still haven't recovered from the catastrophe. When Carly says the revenues went up, that's because she bought Compaq, it was a terrible deal, and it really led to the destruction of the company. Now one other company before that was Lucent. Carly was at Lucent before that. And Lucent turned out to be a catastrophe also. So I only say this. She can't run any of my companies. That I can tell you.",Mr. Trump - why would you be better at creating jobs than Carly Fiorina?,primary02
